College Name,Address,District,Type
R.P GOGATE COLLEGE OF ARTS AND SCIENCE AND R.V JOGALEKAR COLLEGE OF COMMERCE AUTONOMOUS RATNAGIRI,"ADVOCATE N. V JOSHI ROAD , NEAR DISTRICT COURT RATNAGIRI RATNAGIRI MAHARASHTRA INDIA",RATNAGIRI,Govt aided
BRIHAN MAHARASHTRA COLLEGE OF COMMERCE,"845, SHIVAJINAGAR, PUNE",PUNE,Govt aided
MAEER'S MIT ARTS COMMERCE AND SCIENCE COLLEGE,"MOSHI - ALANDI ROAD, ALANDI, TALUKA - HAVELI",PUNE,Private-Self Financing
JUNNAR TALUKA SHIVNER SHIKSHAN PRASARAK MANDAL SHRI SHIV CHHATRAPATI COLLEGE JUNNAR,BODKE NAGAR JUNNAR TAL. JUNNAR DIST. PUNE 410502,PUNE,Govt aided
BILL GATES INSTITUTE OF COMPUTER SCIENCE AND MANAGEMENT,DIC ROAD,OSMANABAD,Private-Self Financing
BHARAT SHIKSHAN PRASARAK MANDAL JAIKRANTI COLLEGE OF COMPUTER SCIENCE AND MANAGEMENT STUDIES,BRT BUS STAND KATRAJ PUNE,PUNE,Private-Self Financing
DNYANSADHANA MAHAVIDYALAYA,AKASHWANI PARISAR DHARMAPURI JINTUR ROAD PARBHANI,PARBHANI,Private-Self Financing
HITECH COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE,"P119, HITECH CAMPUS, NEAR PRATAP CHOWK, BAJAJNAGAR, WALUJ MIDC, AURANGABAD, MAHARASHTRA.",AURANGABAD,Private-Self Financing
SMT. P. N. DOSHI WOMEN'S COLLEGE,"CAMA LANE, GHATKOPAR (WEST). MUMBAI â 400 086",MUMBAI SUBURBAN,Govt aided
PRAHLADRAI DALMIA COLLEGE OF COMMERCE AND ECONOMICS,"SUNDER NAGAR, S.V. ROAD, MALAD (WEST), MUMBAI - 400064",MUMBAI CITY,Govt aided
PDEAS ANNASAHEB MAGAR MAHAVIDYALAYA HADAPSAR,HADAPSAR PUNE-411028 MANJARI ROAD,PUNE,Private-Self Financing
PARIKRAMA ARTS COMMERCE AND SCIENCE COLLEGE,"KASHTI, TAL- SHRIGONDA, DIST- AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
KHED TALUKA SHIKSHAN PRASARAK MANDAL HUTATMA RAJGURU MAHAVIDYALAYA TAL KHED DIST PUNE 410505,"RAJGURUNAGAR, TAL KHED DIST PUNE 410505",PUNE,Govt aided
GANPATRAO ARWADE COLLEGE OF COMMERCE SANGLI,RAJNEMI COMPUS NORTH SHIVAJI NAGAR SANGLI,SANGLI,Govt aided
MODERN COLLEGE OF ARTS SCIENCE AND COMMERCE WARJE PUNE,S NO 117 POPULAR NAGAR MUMBAI BANGALORE HIGHWAY WARJE PUNE 411058,PUNE,Private-Self Financing
BRIJLAL BIYANI SCIENCE COLLEGE,"BIYANI EDUCATIONAL CAMPUS, DASERA MAIDAN ROAD, DURGA VIHAR CHOWK, AMRAVATI",AMRAVATI,Private-Self Financing
J M PATEL ARTS COMMERCE AND SCIENCE COLLEGE BHANDARA,RAJGOPALACHARI WARD BHANDARA,BHANDARA,Govt aided
MALAD KANDIVLI EDUCATION SOCIETYS NAGINDAS KHANDWALA COLLEGE OF COMMERCE ARTS AND MANAGEMENT STUDIES AND SHANTABEN NAGINDAS KHANDWALA COLLEGE OF SCIENCE,"BHAVISHYA BHARAT CAMPUS, ROAD NO. 1, BHADRAN NAGAR, OFF S.V. ROAD, MALAD WEST",MUMBAI SUBURBAN,Govt aided
VSS COLLEGE,S V NO 257 RAILWAY STATION ROAD JALNA,JALNA,Private-Self Financing
MAHATMA JYOTIBA FULE MAHAVIDYALAYA AMRAVATI,"MAHATMA JYOTIBA FULE MAHAVIDYALAYA COLLEGE ROAD, PAVATI NAGAR",AMRAVATI,Govt aided
WAGHIRE COLLEGE OF ARTS COMMERCE AND SCIENCE,AT/PO: SASWAD,PUNE,Private-Self Financing
RAJMATA JIJAU SHIKSHAN PRASARAK MANDALS ARTS COMMERCE AND SCIENCE COLLEGE BHOSARI PUNE,BGP103/106 MIDC LANDEWADI BHOSARI PUNE,PUNE,Private-Self Financing
SHRI BINZANI CITY COLLEGE,"NEAR SAKKARDARA SQUARE, UMRER ROAD",NAGPUR,Govt aided
DR. S.C. GULHANE PRERNA COLLEGE OF COMMERCE SCIENCE AND ARTS,"RESHIMBAGH SQUARE, NAGPUR",NAGPUR,Private-Self Financing
MAULANA AZAD COLLEGE OF ARTS SCIENCE AND COMMERCE,POST BOX NO 27 DR RAFIQ ZAKARIA CAMPUS DR RAFIQ ZAKARIA MARG RAUZA BAGH AURANGABAD,AURANGABAD,Govt aided
ARTS SCIENCE AND COMMERCE COLLEGE,"HIGHWAY NO-06, CHHTRAPATI SAMBHAJI NAGAR-JALNA ROAD TQ: BADNAPUR",JALNA,Govt aided
ADARSHA SCIENCE JAIRAMDAS BHAGCHAND ARTS AND BIRLA COMMERCE MAHAVIDYALAYA DHAMANGAON,ANJANSINGI ROAD,AMRAVATI,Private-Self Financing
MAHARSHI KARVE MAHILA MAHAVIDYALAY SATARA,"714/A, SHANIWAR PETH, SATARA",SATARA,Private-Self Financing
MAHARSHI KARVE STREE SHIKSHAN SAMSTHA'S SHRI SIDDHIVINAYAK MAHILA MAHAVIDYALAYA,"KARVENAGAR, PUNE 411 052",PUNE,Private-Self Financing
SATISH PRADHAN DNYANASADHANA COLLEGE THANE,SATISH PRADHAN DNYANASADHANA COLLEGE THANE OFF EASTERN EXPRESS HIGHWAY DNYANASADHANA MARG THANE WEST,THANE,Govt aided
BAKLIWAL FOUNDATION,"U BUILDING, 1ST FLOOR, DANA BANDAR, APMC PLOT NO 7, NEAR RTO, SECTOR 19B, VASHI, NAVI MUMBAI",THANE,Private-Self Financing
RANDHIRSINGH BHADORIYA MAHAVIDYLAYA UMRED,"AT NEAR GREEN TANK, MANGALWARIPETH, UMRED",NAGPUR,Private-Self Financing
MAHARSHI KARVE MAHILA MAHAVIDYALAY,"SAKHARTAR ROAD, SHIRGAON, RATNAGIRI-415629",RATNAGIRI,Private-Self Financing
KAVERI COLLEGE OF ARTS SCIENCE AND COMMERCE PUNE,GANESH NAGAR ERANDWANE,PUNE,Private-Self Financing
VPS COLLEGE OF ARTS SCIENCE AND COMMERCE,"NEAR LONAVALA RAILWAY STATION, TAH. MAVAL, DIST. PUNE",PUNE,Private-Self Financing
JAYSINGPUR COLLEGE JAYSINGPUR,SHIROL-WADI ROAD JAYSINGPUR,KOLHAPUR,Private-Self Financing
SMT KAMLADEVI GAURIDUTT MITTAL COLLEGE OF ARTS AND COMMERCE,NAHAR NAGAR NEAR NEVY NAGAR MALAD WEST,MUMBAI SUBURBAN,Govt aided
DR.GANPATRAO DESHMUKH MAHAVIDYALAYA SANGOLA,NEAR ST STAND WASUD ROAD SANGOLA,SOLAPUR,Govt aided
DIAMOND COLLEGE OF COMMERCE AND SCIENCE,"PLOT.NO 162,OPPOSITE EIDGAH GROUND,JAFAR NAGAR,NAGPUR",NAGPUR,Private-Self Financing
MULA EDUCATION SOCIETYS ARTS COMMERCE AND SCIENCE COLLEGE SONAI,SONAI RAHURI ROAD,AHMEDNAGAR,Govt aided
PROF RAMKRISHNA MORE ARTS COMMERCE AND SCIENCE COLLEGE AKURDI PUNE,SECTOR NO. 28 GANGANAGAR AKURDI PRADHIKARAN PUNE,PUNE,Govt aided
SHRI D D VISPUTE COLLEGE OF SCIENCE COMMERCE AND MANAGEMENT,GUT 104 DEVAD VICHUMBE ADJACENT TO MUMBAI PUNE EXPRESS HIGWAY TAL PANVEL,RAIGAD,Private-Self Financing
K. T. PATIL COLLEGE OF COMPUTER SCIENCE,"SIDDHARTH NAGAR, BARSHI ROAD, OSMANABAD",OSMANABAD,Private-Self Financing
SSBTS ARTS COMMERCE AND SCIENCE COLLEGE,PB NO - 94 BAMBHORI,JALGAON,Private-Self Financing
BHARAT RATNA DR APJ ABDUL KALAM COLLEGE FOR UG AND PG COURSES WITH MILLENIUM SKILLS INNOVATION INCUBATION AND RESEARCH RAHATGAON AMRAVATI,"9, AMBA BUSINESS PARK, RAHATGAON, AMRAVATI NAGPUR EXPRESS WAY RAHATGAON AMRAVATI",AMRAVATI,Private-Self Financing
TULJARAM CHATURCHAD COLLEGE OF ARTS SCIENCE AND COMMERCE,TANDULWADI ROAD,PUNE,Govt aided
MIRAJ MAHAVIDYALAYA MIRAJ,BUDHGAONKAR MALA NEAR GOVERNMENT MILK DAIRY MIRAJ,SANGLI,Govt aided
MAHATMA GANDHI SARVODAYA SANGH SANCHALIT PADMASHRI MANIBHAI DESAI MAHAVIDYALAYA,"M.G.ROAD,URULI KANCAHN,TAL.HAVELI,DIST.PUNE 412202",PUNE,Private-Self Financing
MOTHER KANCHAN INSTITUTE OF BUSINESS MANAGEMENT AND COMPUTER APPLICATION,"YASHWANT NAGAR, BARSHI NAKA, OSMANABAD",OSMANABAD,Private-Self Financing
MGE SOCIETY'S HUZURPAGA SMT. DURGABAI MUKUNDDAS LOHIA MAHILA VANIJYA MAHAVIDYALAYA,"691 NARARYAN PETH, LAXMI ROAD",PUNE,Private-Self Financing
DADA RAMCHAND BAKHRU SINDHU MAHAVIDYALAYA,"KAKA TILOKCHAND RUGHWANI MARG, PANCHPAOLI,",NAGPUR,Govt aided
KARMAVEER BHAURAO PATIL UNIVERSITY SATARA,Y. C COLLEGE CAMPUS POWAI NAKA SATARA,SATARA,State Government University
JYOTIRAO FULE SAMAJKARYA MAHAVIDYALAYA,"MOUZA BELGAON, UMRED, MOHPA ROAD, UMRED, TA.- UMRED, DIST.- NAGPUR",NAGPUR,Private-Self Financing
K K WAGH ARTS COMMERCE SCIENCE AND COMPUTER SCIENCE COLLEGE NASHIK,"SURVEY NO. 240/1/1, SARASWATINAGAR, ADGAON ROAD, PANCHAVATI, TAL- NASHIK, DIST- NASHIK",NASHIK,Private-Self Financing
ARTS COMMERCE AND SCIENCE COLLEGE PALUS,AP PALUS TAL PALUS DIST SANGLI,SANGLI,Govt aided
ANANTRAO PAWAR COLLEGE,AT MUKAIWADI POST PIRANGUT TAL. MULSHI DIST PUNE 412115 AT MUKAIWADI POST PIRANGUT TAL. MULSHI DIST PUNE 412115,PUNE,Govt aided
MARATHA VIDHYA PRASARAK SAMAJ NASHIK GMD ARTS BW COMMERCE AND SCIENCE COLLEGE SINNAR,"NEAR NASHIK PUNE HIGHWAY, TAL-SINNAR. DIST- NASHIK.",NASHIK,Govt aided
SYNERGY SCHOOL OF COMMERCE,SHIVANE TALUKA HAVELI PUNE MAHARASHTRA - 411023,PUNE,Private-Self Financing
SAMARTH COLLEGE OF COMPUTER SCIENCE,"AT- BANGARWADI, POST-BELHE,TAL- JUNNAR,DIST-PUNE",PUNE,Private-Self Financing
VISHWABHARATI ACADEMY'S COLLEGE OF COMPUTER SCIENCE AND MANAGEMENT,"SAROLA BADDI, JAMKHED ROAD, AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
MAHARSHI KARVE MAHILA MAHAVIDYALAY WAI,"410, MADHALI ALI, WAI",SATARA,Private-Self Financing
MAMASAHEB MOHOL COLLEGE,48/1 ERANDWANA PAUD ROAD PUNE,PUNE,Govt aided
PILLAI COLLEGE OF ARTS COMMERCE & SCIENCE,DR K M VASUDEVAN PILLAI CAMPUS SECTOR 16,RAIGAD,Govt aided
KAI. BAHUSAHEB HIRAY SAMARNIKA SAMITI TRUST'S INDIRA COLLEGE,"GOLIBAR MAIDAN, DABHADI ROAD, MALEGAON CAMP, MALEGAON DIST-NASHIK",NASHIK,Private-Self Financing
MAHATMA GANDHI VIDHYAMANDIR'S PANCHAVATI COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE,"MUMBAI AGRA HIGHWAY ,NEAR KANNAMWAR BRIDGE,PANCHAVATI NASHIK -3",NASHIK,Private-Self Financing
HISLOP COLLEGE,TEMPLE ROAD CIVIL LINES,NAGPUR,Govt aided
SHRIMANT BABASAHEB DESHMUKH MAHAVIDYALAYA,AT/ POST/TAL : ATPADI,SANGLI,Govt aided
BALWANT COLLEGE VITA,"KHANAPUR ROAD, VITA",SANGLI,Private-Self Financing
SHANKARLAL AGRAWAL COLLEGE OF MANAGEMENT STUDIES SURYATOLA GONDIA,SURYATOLA GONDIA,GONDIA,Private-Self Financing
SHARDA COLLEGE SINNAR,ADVA PHATA SINNER,NASHIK,Private-Self Financing
RISHI DAYARAM AND SETH HASSARAM NATIONAL COLLEGE AND SETH WASSIAMULL ASSOMULL SCIENCE COLLEGE,"VIDYASAGAR PRINCIPAL K.M. KUNDNANI CAMPUS, BARRISTER HOTCHAND GOPALDAS ADVANI MARG, SMT. JOTU KUNDNANI CHOWK, LINKING ROAD, BANDRA (W), MUMBAI - 400 050",MUMBAI SUBURBAN,Govt aided
VENKATESH MAHAJAN SENIOR COLLEGE,SAMARTH NAGAR WARUDA ROAD,OSMANABAD,Private-Self Financing
RAMKRISHNA WAGH COLLEGE OF ARTS AND COMMERCE,KORADI RAOD BOKHARA,NAGPUR,Private-Self Financing
CHETANAS HAZARIMAL SOMANI COLLEGE OF COMMERCE AND ECONOMICS,"CHETANA SELF FINANCING SECTION , CHETANA MAHAVIDYALAY MARG , BANDRA EAST",MUMBAI SUBURBAN,Govt aided
GRAMONNATI MANDAL'S ARTS COMMERCE SCIENCE COLLEGE NARAYANGAON,AT POST-NARAYANGAON TAL-JUNNAR DIST-PUNE,PUNE,Govt aided
SHRI BACCHUBHAU KADU BCA MAHAVIDYALAYA JARUD,"WARD NO. 3, WARUD AMRAVATI ROAD",AMRAVATI,Private-Self Financing
INDRAYANI MAHAVIDYALAYA,"TALEGAON-CHAKAN ROAD, TALEGAON DABHADE",PUNE,Govt aided
RAYAT SHIKSHAN SANSTHA'S MAHARAJA JIVAJIRAO SHINDE MAHAVIDYALAYA SHRIGONDA,DAUND JAMKHED ROAD SHRIGONDA,AHMEDNAGAR,Govt aided
PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ARTS SCIENCE AND COMMERCE GANESHKHIND PUNE,GANESHKHIND PUNE 16,PUNE,Private-Self Financing
RAYAT SHIKSHAN SANSTHA'S SHRI SADGURU GANGAGEER MAHARAJ SCIENCE GAUTAM ARTS AND SANJIVANI COMMERCE COLLEGE KOPARGAON,"A/P-DAUCH KH. , JEUR KUMBHARI, KOPARGAON",AHMEDNAGAR,Govt aided
NEW ARTS COMMERCE AND SCIENCE COLLEGE PARNER,COLLEGE ROAD PARNER,AHMEDNAGAR,Govt aided
COMMERCE MANAGEMENT AND COMPUTER SCIENCE COLLEGE,"690/A B/3 UDOJI MARATHA BOARDING CAMPUS, GANGAPUR ROAD",NASHIK,Private-Self Financing
KRT ARTS BH COMMERCE AND AM SCIENCE COLLEGE NASHIK,"SHIVAJI NAGAR, GANAGAPUR ROAD, NASHIK",NASHIK,Private-Self Financing
GAYADEVI JOSHI ARYABHATTA MAHAVIDYALAYA,KESHAV NAGAR AKOLA,AKOLA,Private-Self Financing
SARDAR BABASAHEB MANE MAHAVIDYALAYA RAHIMATPUR,"VADUJ - RAHIMATPUR ROAD, VIJAY NAGAR COLONY, RAHIMATPUR",SATARA,Govt aided
"SVPM'S COLLEGE OF COMMERCE, SCIENCE AND COMPUTER EDUCATION, MALEGAON (BK.), BARAMATI",AP MALEGAON BK,PUNE,Private-Self Financing
SIR PARASHURAMBHAU COLLEGE PUNE,TILAK ROAD SADASHIV PETH,PUNE,Private-Self Financing
REENA MEHTA COLLEGE OF ARTS SCIENCE COMMERCE AND MANAGEMENT STUDIES,S NO 574/5 NEAR FLYOVER BRIDGE 150 FEET ROAD NEAR MAXUS MALL,THANE,Private-Self Financing
WARANA MAHAVIDYALAYA,AITAWADE KHURD,SANGLI,Govt aided
DES'S KIRTI M. DOONGURSEE COLLEGE OF ARTS SCIENCE AND COMMERCE,KASHINATH DHURU ROAD OFF.VEER SAVARKAR MARG DADAR WEST,MUMBAI CITY,Govt aided
SHIVAJI UNIVERSITY KOLHAPUR,VIDYANAGAR KOLHAPUR,KOLHAPUR,State Government University
PDEAS SHANKARRAO BHELKE COLLEGE,NASARAPUR TAL BHOR DIST PUNE MAHARASHTRA,PUNE,Govt aided
MES GARWARE COLLEGE OF COMMERCE,"KARVE ROAD, PUNE",PUNE,Govt aided
R.A.PODAR COLLEGE OF COMMERCE AND ECONOMICS AUTONOMOUS,"L.N.ROAD, MATUNGA",MUMBAI CITY,Govt aided
ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF BUSINESS ADMINISTRATION,"KENNEDY ROAD, NEAR PUNE R.T.O. PUNE",PUNE,Private-Self Financing
B D KALE MAHAVIDYALAYA,A P GHODEGAON TAL AMBEGAON DIST PUNE,PUNE,Govt aided
"JEEVAN PRABODHINI VITA'S SOU. SHOBHAKAKI BABAR KANYA MAHAVIDYALAYA, VITA","SR. NO. 578 VITA MAYANI ROAD, POWAI TEK, GARDI ( VITA)",SANGLI,Private-Self Financing
VIDYA PRATISHTHAN SUPE ARTS SCIENCE AND COMMERCE COLLEGE,SUPE TAL - BARAMATI DIST - PUNE 412 204,PUNE,Private-Self Financing
BUNTS SANGHA MUMBAI ANNNA LEELA COLLEGE OF COMMERCE AND ECONOMICS SHOBHA JAYARAM SHETTY COLLEGE FOR BMS,SHASHI MANMOHAN HIGHER EDUCATION COMPLEX OPP BUNTARA BHAVAN BUNTARA BHAVAN MARG KURLA (EAST),MUMBAI SUBURBAN,Private-Self Financing
ANJUMAN I ISLAM'S AKBAR PEERBHOY COLLEGE OF COMMERCE AND ECONOMICS,"MAULANA SHAUKAT ALI ROAD, DO TAAKI, GRANT ROAD EAST",MUMBAI CITY,Govt aided
MARATHA VIDYA PRASARAK SAMAJ'S S V K T ARTS SCIENCE AND COMMERCE COLLEGE,DEOLALI CAMP,NASHIK,Private-Self Financing
MITHIBAI COLLEGE OF ARTS CHAUHAN INSTITUTE OF SCIENCE AMRUTBEN JIVANLAL COLLEGE OF COMMERCE AND ECONOMICS,"BHAKTIVEDANTA SWAMI MARG, V. L. MEHTA ROAD, VILE PARLE(W)",MUMBAI SUBURBAN,Govt aided
SMT MITHIBAI MOTIRAM KUNDNANI COLLEGE OF COMMERCE AND ECONOMICS,"NARI GURSHAHANI MARG TPS III, OFF LINKING ROAD BANDRA WEST",MUMBAI SUBURBAN,Private-Self Financing
K.A.A..N.M.SONAWANE ARTS COMMERCE AND SCIENCE COLLEGE SATANA TAL BAGLAN DIST. NASHIK,"K.A.A.N.M.S.ARTS,COMMERCE & SCIENCE COLLEGE SATANA MORENAGAR , SATANA .TAL BAGLAN",NASHIK,Private-Self Financing
DNYANOPASAK SHIKSHAN MANDALS COLLEGE OF ARTS COMMERCE AND SCIENCE,POST BOX NO 54 JINTUR ROAD,PARBHANI,Govt aided
SHIVRATNA INSTITUTE OF MANAGEMENT STUDIES SHANKARNAGAR AKLUJ,"KNOWLEDGE CITY ,YASHWANTNAGAR, AKLUJ.",SOLAPUR,Private-Self Financing
K L E SOCIETY'S SCIENCE AND COMMERCE COLLEGE,"PLOT NO. 29, SEC. 01, KALAMBOLI",RAIGAD,Private-Self Financing
AAKAR INSTITUTE OF MANAGEMENT AND RESEARCH STUDIES,"NEAR HINGNA TAHASIL OFFICE, KANHOLIBARA ROAD HINGNA, NAGPUR",NAGPUR,Private-Self Financing
KEN KENDRE COLLEGE OF TECHNOLOGY AND MANAGEMENT,"GLOBAL CAMPUS, NEXT TO HEALTH UNIVERSITY, DINDORI ROAD, NASHIK",NASHIK,Private-Self Financing
D Y PATIL EDUCATION SOCIETY DEEMED TO BE UNIVERSITY,"869, 'E', D. Y. PATIL VIDYANAGAR, KASABA BAWADA, KOLHAPUR",KOLHAPUR,Deemed to be University(Pvt)
FRIENDS UNION FOR ENERGISING LIVES FUEL COLLEGE,"SECTOR NO.16-1-1, FOREST TRAILS TOWNSHIP, PARANJAPE SCHEMES, POUD ROAD, BHUGOAN, MULSHI TALUK,",PUNE,Private-Self Financing
MANDKE HUMAN HAPPINESS FOUNDATION SMT SUDHATAI MANDKE COLLEGE PUNE 411038,47/8 MANDKE GROWTH CENTRE PAUD ROAD PAUD PHATA FLYOVER PUNE,PUNE,Private-Self Financing
CITY PRIDE COLLEGE,"KH, NO 60/2 &3, MOUZA ISASANI, BEHIND MIHAN GATE NO 3 HINGNA, NAGPUR",NAGPUR,Private-Self Financing
VASANTRAO KALE COLLEGE OF JOURNALISM AND COMPUTER SCIENCE BEED,"NEAR MANE PETROL PUMP, BARSI ROAD, BEED.",BEED,Private-Self Financing
SHARDABAI PAWAR MAHILA ARTS COMMERCE AND SCIENCE COLLEGE,"SHARDANAGAR, MALEGAON BK., TAL- BARAMATI , DIST - PUNE , 413115, MAHARASHTRA, INDIA",PUNE,Govt aided
RAJGAD DNYANPEETH'S ANANTRAO THOPTE COLLEGE BHOR,AT COLLEGE BHOR TAL.BHOR DIST. PUNE 412206,PUNE,Govt aided
D.G.RUPARE COLLEGE OF ARTS SCIENCE AND COMMERCE,"SENAPATI BAPAT MARG,MAHIM. MUMBAI 40016",MUMBAI CITY,Private-Self Financing
SAILEE DEGREE COLLEGE,"CTS NO 240, OLD MHB COLONY, GENERAL ARUNKUMAR VAIDYA GROUND, GORAI ROAD",MUMBAI SUBURBAN,Private-Self Financing
SHRI GUJARATI SEVA SAMAJ SANGLI SANCHALIT SMT CHAMPABEN BALCHAND SHAH MAHILA MAHAVIDYALAYA SANGLI,RATANSHI NAGAR NEAR AMRAI SANGLI,SANGLI,Govt aided
MDA INSTITUTE OF HIGHER EDUCATION SCIENCES AND RESEARCH,LATUR NANDED NH-361 AT KOLPA PO KASARKHEDA TQ DIST LATUR MAHARASHTRA,LATUR,Private-Self Financing
SHRI R K PATIL ARTS COMMERCE AND SCIENCE COLLEGE SANKH,BADACHI ROAD SANKH,SANGLI,Private-Self Financing
SWODHARAK VIDYARTHI SANSTHAS DADASAHEB RAWAL COLLEGE,"DADASAHEB RAWAL KNOWLEDGE CITY, MANDAL ROAD",DHULE,Govt aided
B. P. SULAKHE COMMERCE COLLEGE BARSHI,KARMVEER NAGAR BARSHI,SOLAPUR,Govt aided
CITY PREMIER COLLEGE,"CITY PREMIER COLLEGE, NAGPUR. WARDHA RD, NEAR SAI MANDIR NAGPUR, HINDUSTAN COLONY, SAMARTH NAGAR EAST, NAGPUR, MAHARASHTRA",NAGPUR,Private-Self Financing
SVKM'S NARSEE MONJEE COLLEGE OF COMMERCE AND ECONOMICS,SWAMI BHAKTIVEDANT MARG BHAGUBAI MAFATLAL COMPLEX OPP. COOPER HOSPITAL VILE PARLE WEST MUMBAI 400056,MUMBAI SUBURBAN,Govt aided
PRAGNYA COLLEGE OF MANAGEMENT AND COMPUTER STUDIES,"HANDEWADI AUTADE, BEHIND MAYUR MANGAL KARYALAYA, HANDEWADI CHOWK, OFF KATRAJ SASWAD ROAD, HADAPSAR,",PUNE,Private-Self Financing
HARIBHAI V DESAI COLLEGE OF ARTS SCIENCE AND COMMERCE PUNE,DESAI BROTHERS VIDYA BHAWAN 596 BUDHWAR PETH BEHIND SHANIWAR WADA PUNE,PUNE,Private-Self Financing
REGAL COLLEGE OF TECHNOLOGY AND MANAGEMENT,"501,RAMKRISHNA BHAVAN,AGRA ROAD",THANE,Private-Self Financing
VIDYA PRATISHTHAN'S COMMERCE AND SCIENCE COLLEGE INDAPUR,"VIDYANAGARI, AKLUJ LINK ROAD",PUNE,Private-Self Financing
REGAL COLLEGE OF TECHNOLOGY,"A/P- KONDHE, GUHAGAR ROAD,",RATNAGIRI,Private-Self Financing
TULAJABHAVANI COLLEGE OF INFORMATION TECHNOLOGY,"BEHIND SHARAD PAWAR HIGH SCHOOL,BARSHI NAKA, DHARASHIV",OSMANABAD,Private-Self Financing
DR. BABASAHEB AMBEDKAR COLLEGE,BARRISTER TATYSAHEB MANE VIDYANAGAR,KOLHAPUR,Govt aided
SHRI KAKASAHEB HEERALAL MAGANLAL CHAUDHARI ARTS COMMERCE AND SCIENCE COLLEGE,HEERA CAMPUS SERVE NO 381 NEAR GAJANAN MAHARAJ MANDIR NAVAPUR ROAD,NANDURBAR,State Government University
VIDYALANKAR SCHOOL OF INFORMATION TECHNOLOGY,"VIDYALANKAR EDUCATIONAL CAMPUS, VIDYALANKAR MARG, WADALA EAST",MUMBAI CITY,Private-Self Financing
ATLANTA COLLEGE,"SADAR, NAGPUR",NAGPUR,Private-Self Financing
JANKIDEVI BAJAJ INSTITUTE OF MANAGEMENT STUDIES SNDT WOMEN'S UNIVERSITY MUMBAI,"SIR VITHALDAS THACKERSEY VIDYA VIHAR VIHAR, JUHU TARA ROAD, SANTACRUZ(WEST), MUMBAI-400049.",MUMBAI SUBURBAN,State Government University
ABASAHEB GARWARE COLLEGE,"KARVE ROAD, PUNE",PUNE,Govt aided
ARTS COMMERCE AND SCIENCE COLLEGE NANDGAON,GIRNA NAGAR MALEGAON ROAD,NASHIK,Govt aided
REGAL COLLEGE OF COMPUTER APPLICATION KANKAVLI,A/P-JANAVLI DALVIWADI MUMBAI-GOA HIGHWAY,SINDHUDURG,Private-Self Financing
SANGAVI KESHRI ARTS AND COMMERCE COLLEGE CHINCHWAD,"ACHARYA ANAND RUSHIJI MARG, OPPOSITE FINOLEX PIPES, CHINCHWAD, PUNE-19",PUNE,Private-Self Financing
SOUTH INDIAN EDUCATION SOCIETY'S COLLEGE OF COMMERCE AND ECONOMICS,"PLOT NO. 71/72, T.V. CHIDAMBARAN MARG, SION ( EAST )",MUMBAI CITY,Govt aided
KAMALA COLLEGE,RAJARAMPURI 1ST LANE,KOLHAPUR,Govt aided
JANATA SHIKSHAN SANSTHA'S KISAN VEER MAHAVIDYALAY WAI,"WAI PANCHAGANI ROAD, WAI, TAL- WAI , DIST- SATARA",SATARA,Govt aided
MARATHA VIDYA PRASARAK SAMAJS,"105/2/B, ANKWADE SHIWAR, YEOLA ROAD, MANMAD",NASHIK,Private-Self Financing
SKE BCA COLLEGE,"COLLEGE ROAD, CHANDGAD",KOLHAPUR,Private-Self Financing
SIES COLLEGE OF ARTS SCIENCE AND COMMERCE,"84, 85, 106 & 107 SION WEST",MUMBAI CITY,Govt aided
ST MIRA'S COLLEGE FOR GIRLS,"6, KOREGAON ROAD",PUNE,Private-Self Financing
DR BHANUBEN MAHENDRA NANAVATI COLLEGE OF HOME SCIENCE,"338, RAFI AHMED KIDWAI ROAD, MATUNGA",MUMBAI CITY,Govt aided
INSTITUTE OF COMPUTER AND MANAGEMENT STUDIES,"OLD KASEGAON RAOD, KASEGAON, TAL- PANDHARPUR, DIST-SOLAPUR, MH, PIN-413304",SOLAPUR,Private-Self Financing
AAER'S ASIAN COLLEGE OF SCIENCE AND COMMERCE,"S.NO.28/15/16, NARHE-DHAYARI ROAD, PARI COMPANY CHOWK, DHAYARI, PUNE-411041",PUNE,Private-Self Financing
GURU NANAK KHALSA COLLEGE OF ARTS SCIENCE AND COMMERCE,NATHALAL PAREKH MARG MATUNGA MUMBAI,MUMBAI CITY,Govt aided
LATE BABANRAO DESHMUKH MAHAVIDYALAYA,NEAR BSNL TOWER WARDHA ROAD AMRAVATI,AMRAVATI,Private-Self Financing
SAVITRIBAI PHULE BCA MAHAVIDYALYA BASMATNAGAR,PANCHSHEEL NAGAR KAUTHA ROAD BASMAT DIST HINGOLI,HINGOLI,Private-Self Financing
SKYLARK FOUNDATION,"AP-KHEDSHIVAPUR,TAL-HAVELI,DIST-PUNE",PUNE,Private-Self Financing
